delay,condition,textbox.text,,,,,,,,,,
0.1,exp,123,,,,,,,,,,
0.1,exp,67,,,,,,,,,,
0.1,exp,890,,,exp100,exp400,exp700,,unexp100,unexp400,unexp700,
0.7,unexp,7,,,,,,,,,,
0.7,unexp,456,,,,,,,,,,
0.7,unexp,789,,,,,,,,,,
0.7,unexp,11,,,,,,,,,,
0.7,unexp,764,,,,,,,,,,
0.7,unexp,321,,,,,,,,,,
0.7,unexp,459,,,,,,,,,,
0.7,unexp,789,,,,,,,,,,
0.7,unexp,349,,,,,,,,,,
0.7,unexp,444,,,,,,,,,,
0.7,unexp,670,,,,,,,,,,
0.7,unexp,708,,,,,,,,,,
0.7,unexp,50,,,,,,,,,,
0.7,unexp,777,,,,,,,,,,
0.7,unexp,23,,,,,,,,,,
0.7,unexp,764,,,,,,,,,,
0.7,unexp,674,,,,,,,,,,
0.7,unexp,123,,,,,,,,,,
0.7,unexp,,,,,,,,,,,
0.7,unexp,546,,,,,,,,,,
0.7,unexp,559,,,,,,,,,,
0.7,unexp,795,,,,,,,,,,
0.7,unexp,576,,,,,,,,,,
0.7,unexp,234,,,,,,,,,,
0.7,unexp,675,,,,,,,,,,
0.7,unexp,674,,,,,,,,,,
0.7,unexp,685,,,,,,,,,,
0.7,unexp,29,,,,,,,,,,
0.7,unexp,798,,,,,,,,,,
0.7,unexp,58,,,,,,,,,,
0.7,unexp,632,,,,,,,,,,
0.7,unexp,489,,,,,,,,,,
